_id__$oid,battery,height,volume,temperature,ReadingDateTime,environment,DATE,TIME,HOUR,,Hourly_averge_flow ,,
5da4a4e52d5503000d311452,null,79,7900,null,4:37:14 PM,,10/14/2019,4:37:14 PM,16,4:37 PM,7900,,79
5da4a4ff2d5503000d311454,null,79,7900,null,5:37:14 PM,,10/14/2019,5:37:14 PM,17,5:37 PM,7900,,79
5da4a5002d5503000d311456,null,79,7900,null,6:37:14 PM,,10/14/2019,6:37:14 PM,18,6:37 PM,7900,,79
5da4a51e2d5503000d31145a,null,79,7900,null,7:37:14 PM,,10/14/2019,7:37:14 PM,19,7:37 PM,7900,,79
5da4a73d2d5503000d31146c,null,79,7900,null,8:37:14 PM,,10/14/2019,8:37:14 PM,20,8:37 PM,8950,,79
5da4a9922d5503000d311482,null,100,10000,null,9:37:14 PM,,10/14/2019,9:37:14 PM,21,9:37 PM,8950,,100
5da4abe92d5503000d31148c,null,79,7900,null,10:37:14 PM,,10/14/2019,10:37:14 PM,22,10:37 PM,7900,,79
5da4ae4b2d5503000d311494,null,79,7900,null,11:37:14 PM,,10/14/2019,11:37:14 PM,23,11:37 PM,7900,,79
5da4b0992d5503000d31149c,null,79,7900,null,12:37:14 AM,,10/15/2019,12:37:14 AM,0,12:37 AM,7900,,79
5da4b2f02d5503000d3114a6,null,79,7900,null,1:37:14 AM,,10/15/2019,1:37:14 AM,1,1:37 AM,7950,,79
5da4b5492d5503000d3114b0,null,80,8000,null,2:37:14 AM,,10/15/2019,2:37:14 AM,2,2:37 AM,7950,,80
5da4b7a12d5503000d3114ba,null,79,7900,null,3:37:14 AM,,10/15/2019,3:37:14 AM,3,3:37 AM,9050,,79
5da4b9f82d5503000d3114c4,null,102,10200,null,4:37:14 AM,,10/15/2019,4:37:14 AM,4,4:37 AM,9050,,102
5da4bc512d5503000d3114ce,null,79,7900,null,5:37:14 AM,,10/15/2019,5:37:14 AM,5,5:37 AM,7900,,79
5da4bea92d5503000d3114d8,null,79,7900,null,6:37:14 AM,,10/15/2019,6:37:14 AM,6,6:37 AM,7900,,79
5da4c1032d5503000d3114e2,null,79,7900,null,7:37:14 AM,,10/15/2019,7:37:14 AM,7,7:37 AM,8050,,79
5da4c3582d5503000d3114f4,null,82,8200,null,8:37:14 AM,,10/15/2019,8:37:14 AM,8,8:37 AM,8050,,82
5da4c5b02d5503000d311508,null,79,7900,null,9:37:14 AM,,10/15/2019,9:37:14 AM,9,9:37 AM,7900,,79
5da4c8082d5503000d311514,null,79,7900,null,10:37:14 AM,,10/15/2019,10:37:14 AM,10,10:37 AM,7900,,79
5da4ca602d5503000d31152c,null,79,7900,null,11:37:14 AM,,10/15/2019,11:37:14 AM,11,11:37 AM,7950,,79
5da4ccb92d5503000d311542,null,80,8000,null,12:37:14 PM,,10/15/2019,12:37:14 PM,12,12:37 PM,8000,,80
5da4cf102d5503000d311550,null,80,8000,null,1:37:14 PM,,10/15/2019,1:37:14 PM,13,1:37 PM,8000,,80
5da4d16c2d5503000d31156a,null,80,8000,null,2:37:14 PM,,10/15/2019,2:37:14 PM,14,2:37 PM,8000,,80
5da4d3c02d5503000d311578,null,80,8000,null,3:37:14 PM,,10/15/2019,3:37:14 PM,15,3:37 PM,8000,,80
5da4d6182d5503000d31158a,null,80,8000,null,4:37:14 PM,,10/15/2019,4:37:14 PM,16,4:37 PM,8000,,80
5da4d8702d5503000d31159e,null,80,8000,null,5:37:14 PM,,10/15/2019,5:37:14 PM,17,5:37 PM,8050,,80
5da4dac82d5503000d3115ae,null,81,8100,null,6:37:14 PM,,10/15/2019,6:37:14 PM,18,6:37 PM,8050,,81
5da4dd212d5503000d3115c0,null,80,8000,null,7:37:14 PM,,10/15/2019,7:37:14 PM,19,7:37 PM,8050,,80
5da4df792d5503000d3115d4,null,81,8100,null,8:37:14 PM,,10/15/2019,8:37:14 PM,20,8:37 PM,8100,,81
5da4e1d32d5503000d3115e2,null,81,8100,null,9:37:14 PM,,10/15/2019,9:37:14 PM,21,9:37 PM,8100,,81
5da4e4282d5503000d3115f4,null,81,8100,null,10:37:14 PM,,10/15/2019,10:37:14 PM,22,10:37 PM,8100,,81
5da4e6802d5503000d311608,null,81,8100,null,11:37:14 PM,,10/15/2019,11:37:14 PM,23,11:37 PM,8150,,81
5da4e8d82d5503000d31161a,null,82,8200,null,12:37:14 AM,,10/16/2019,12:37:14 AM,0,12:37 AM,8700,,82
5da4eb302d5503000d31162c,null,92,9200,null,1:37:14 AM,,10/16/2019,1:37:14 AM,1,1:37 AM,8700,,92
5da4ed892d5503000d311642,null,82,8200,null,2:37:14 AM,,10/16/2019,2:37:14 AM,2,2:37 AM,8200,,82
5da4efe02d5503000d311664,null,82,8200,null,3:37:14 AM,,10/16/2019,3:37:14 AM,3,3:37 AM,8200,,82
5da4f23f2d5503000d311676,null,82,8200,null,4:37:14 AM,,10/16/2019,4:37:14 AM,4,4:37 AM,9200,,82
5da4f4902d5503000d31168a,null,102,10200,null,5:37:14 AM,,10/16/2019,5:37:14 AM,5,5:37 AM,9250,,102
5da4f6e92d5503000d31169e,null,83,8300,null,6:37:14 AM,,10/16/2019,6:37:14 AM,6,6:37 AM,9050,,83
5da4f9402d5503000d3116ac,null,98,9800,null,7:37:14 AM,,10/16/2019,7:37:14 AM,7,7:37 AM,9100,,98
5da4fb982d5503000d3116c4,null,84,8400,null,8:37:14 AM,,10/16/2019,8:37:14 AM,8,8:37 AM,8400,,84
5da4fdf12d5503000d3116d4,null,84,8400,null,9:37:14 AM,,10/16/2019,9:37:14 AM,9,9:37 AM,9200,,84
5da500492d5503000d3116e6,null,100,10000,null,10:37:14 AM,,10/16/2019,10:37:14 AM,10,10:37 AM,9700,,100
5da502a32d5503000d3116fc,null,94,9400,null,11:37:14 AM,,10/16/2019,11:37:14 AM,11,11:37 AM,8950,,94
5da504f82d5503000d31170e,null,85,8500,null,12:37:14 PM,,10/16/2019,12:37:14 PM,12,12:37 PM,8450,,85
5da507502d5503000d311720,null,84,8400,null,1:37:14 PM,,10/16/2019,1:37:14 PM,13,1:37 PM,8450,,84
5da509a82d5503000d311736,null,85,8500,null,2:37:14 PM,,10/16/2019,2:37:14 PM,14,2:37 PM,8500,,85
5da50c002d5503000d311746,null,85,8500,null,3:37:14 PM,,10/16/2019,3:37:14 PM,15,3:37 PM,8400,,85
5da50e592d5503000d31175a,null,83,8300,null,4:37:14 PM,,10/16/2019,4:37:14 PM,16,4:37 PM,8450,,83
5da510b02d5503000d31176c,null,86,8600,null,5:37:14 PM,,10/16/2019,5:37:14 PM,17,5:37 PM,8600,,86
5da510d42d5503000d311772,null,86,8600,null,6:37:14 PM,,10/16/2019,6:37:14 PM,18,6:37 PM,8600,,86
5da5130b2d5503000d311782,null,86,8600,null,7:37:14 PM,,10/16/2019,7:37:14 PM,19,7:37 PM,9050,,86
5da515602d5503000d311796,null,95,9500,null,8:37:14 PM,,10/16/2019,8:37:14 PM,20,8:37 PM,9500,,95
5da517b82d5503000d3117a8,null,95,9500,null,9:37:14 PM,,10/16/2019,9:37:14 PM,21,9:37 PM,9050,,95
5da51a112d5503000d3117ba,null,86,8600,null,10:37:14 PM,,10/16/2019,10:37:14 PM,22,10:37 PM,8650,,86
5da51c682d5503000d3117ce,null,87,8700,null,11:37:14 PM,,10/16/2019,11:37:14 PM,23,11:37 PM,8750,,87
5da51ec22d5503000d3117e4,null,88,8800,null,12:37:14 AM,,10/17/2019,12:37:14 AM,0,12:37 AM,8800,,88
5da521182d5503000d3117f6,null,88,8800,null,1:37:14 AM,,10/17/2019,1:37:14 AM,1,1:37 AM,8800,,88
5da5214b2d5503000d3117fc,null,88,8800,null,2:37:14 AM,,10/17/2019,2:37:14 AM,2,2:37 AM,9000,,88
5da523752d5503000d31180c,null,92,9200,null,3:37:14 AM,,10/17/2019,3:37:14 AM,3,3:37 AM,9050,,92
5da525c82d5503000d311820,null,89,8900,null,4:37:14 AM,,10/17/2019,4:37:14 AM,4,4:37 AM,8900,,89
5da528202d5503000d311834,null,89,8900,null,5:37:14 AM,,10/17/2019,5:37:14 AM,5,5:37 AM,8900,,89
5da52a782d5503000d311846,null,89,8900,null,6:37:14 AM,,10/17/2019,6:37:14 AM,6,6:37 AM,8900,,89
5da52cd02d5503000d31185c,null,89,8900,null,7:37:14 AM,,10/17/2019,7:37:14 AM,7,7:37 AM,8950,,89
5da52f292d5503000d31186e,null,90,9000,null,8:37:14 AM,,10/17/2019,8:37:14 AM,8,8:37 AM,9000,,90
5da531802d5503000d311884,null,90,9000,null,9:37:14 AM,,10/17/2019,9:37:14 AM,9,9:37 AM,9000,,90
5da531a32d5503000d311886,null,90,9000,null,10:37:14 AM,,10/17/2019,10:37:14 AM,10,10:37 AM,9000,,90
5da533db2d5503000d31189c,null,90,9000,null,11:37:14 AM,,10/17/2019,11:37:14 AM,11,11:37 AM,9450,,90
5da536312d5503000d3118aa,null,99,9900,null,12:37:14 PM,,10/17/2019,12:37:14 PM,12,12:37 PM,9900,,99
5da538882d5503000d3118be,null,99,9900,null,1:37:14 PM,,10/17/2019,1:37:14 PM,13,1:37 PM,9450,,99
5da53ae02d5503000d3118d2,null,90,9000,null,2:37:14 PM,,10/17/2019,2:37:14 PM,14,2:37 PM,9000,,90
5da53d382d5503000d3118e4,null,90,9000,null,3:37:14 PM,,10/17/2019,3:37:14 PM,15,3:37 PM,9000,,90
5da53f902d5503000d3118f6,null,90,9000,null,4:37:14 PM,,10/17/2019,4:37:14 PM,16,4:37 PM,9000,,90
5da541e92d5503000d31190a,null,90,9000,null,5:37:14 PM,,10/17/2019,5:37:14 PM,17,5:37 PM,9000,,90
5da544432d5503000d311924,null,90,9000,null,6:37:14 PM,,10/17/2019,6:37:14 PM,18,6:37 PM,9000,,90
5da546982d5503000d311934,null,90,9000,null,7:37:14 PM,,10/17/2019,7:37:14 PM,19,7:37 PM,8950,,90
5da548f02d5503000d311946,null,89,8900,null,8:37:14 PM,,10/17/2019,8:37:14 PM,20,8:37 PM,9450,,89
5da54b482d5503000d311956,null,100,10000,null,9:37:14 PM,,10/17/2019,9:37:14 PM,21,9:37 PM,9450,,100
5da54da02d5503000d31196e,null,89,8900,null,10:37:14 PM,,10/17/2019,10:37:14 PM,22,10:37 PM,8900,,89
5da54ff82d5503000d311982,null,89,8900,null,11:37:14 PM,,10/17/2019,11:37:14 PM,23,11:37 PM,8900,,89
5da552532d5503000d311992,null,89,8900,null,12:37:14 AM,,10/18/2019,12:37:14 AM,0,12:37 AM,8900,,89
5da554ab2d5503000d3119a4,null,89,8900,null,1:37:14 AM,,10/18/2019,1:37:14 AM,1,1:37 AM,8900,,89
5da557002d5503000d3119b8,null,89,8900,null,2:37:14 AM,,10/18/2019,2:37:14 AM,2,2:37 AM,8850,,89
5da559582d5503000d3119c6,null,88,8800,null,3:37:14 AM,,10/18/2019,3:37:14 AM,3,3:37 AM,9350,,88
5da55bb02d5503000d3119dc,null,99,9900,null,4:37:14 AM,,10/18/2019,4:37:14 AM,4,4:37 AM,9350,,99
5da55e082d5503000d3119ec,null,88,8800,null,5:37:14 AM,,10/18/2019,5:37:14 AM,5,5:37 AM,8950,,88
5da560612d5503000d3119f8,null,91,9100,null,6:37:14 AM,,10/18/2019,6:37:14 AM,6,6:37 AM,8900,,91
5da562b92d5503000d311a0c,null,87,8700,null,7:37:14 AM,,10/18/2019,7:37:14 AM,7,7:37 AM,8700,,87
5da565142d5503000d311a22,null,87,8700,null,8:37:14 AM,,10/18/2019,8:37:14 AM,8,8:37 AM,8700,,87
5da567682d5503000d311a32,null,87,8700,null,9:37:14 AM,,10/18/2019,9:37:14 AM,9,9:37 AM,9350,,87
5da569c02d5503000d311a46,null,100,10000,null,10:37:14 AM,,10/18/2019,10:37:14 AM,10,10:37 AM,9300,,100
5da56c182d5503000d311a58,null,86,8600,null,11:37:14 AM,,10/18/2019,11:37:14 AM,11,11:37 AM,8600,,86
5da56e702d5503000d311a68,null,86,8600,null,12:37:14 PM,,10/18/2019,12:37:14 PM,12,12:37 PM,8600,,86
5da570c92d5503000d311a78,null,86,8600,null,1:37:14 PM,,10/18/2019,1:37:14 PM,13,1:37 PM,8600,,86
5da573202d5503000d311a8a,null,86,8600,null,2:37:14 PM,,10/18/2019,2:37:14 PM,14,2:37 PM,8600,,86
5da5757d2d5503000d311a98,null,86,8600,null,3:37:14 PM,,10/18/2019,3:37:14 PM,15,3:37 PM,8600,,86
